street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Gravity at 255 - 1501 Old Monrovia Rd NW, Huntsville, AL",Huntsville,AL,35806,34.75322,-86.681885,1/2,"$1,159+/$1,551+",,https://www.zillow.com/b/gravity-at-255-huntsville-al-5Xkdmh/
"Homewood Heights Apartment Homes - 403 Edgecrest Dr, Birmingham, AL",Birmingham,AL,35209,33.463676,-86.83241,1/2,"$1,165+/$1,395+",3D Tour,https://www.zillow.com/b/homewood-heights-apartment-homes-homewood-al-5XxmFs/
"Fox Crossings - 3635 Gas Light Curv, Montgomery, AL",Montgomery,AL,36116,32.327732,-86.22826,1/2,$480+/$580+,,https://www.zillow.com/b/fox-crossings-montgomery-al-5Xjq4v/
"Retreat at Schillinger - 1313 Schillinger Rd S, Mobile, AL",Mobile,AL,36695,30.663494,-88.224304,1/2/3,"$1,169+/$1,237+/$1,544+",,https://www.zillow.com/b/retreat-at-schillinger-mobile-al-5Xk2qm/
"Kenley Apartments - 10 Kenley Way, Birmingham, AL",Birmingham,AL,35242,33.43248,-86.69788,1/2/3,"$1,083+/$1,726+/$1,794+",Updated yesterday,https://www.zillow.com/b/kenley-apartments-birmingham-al-5Xj7Tm/
"The Cottages at Old Monrovia - 335 Culbertson Dr NW, Huntsville, AL",Huntsville,AL,35806,34.753506,-86.677444,1/2/3,"$1,123+/$1,604+/$2,455+",,https://www.zillow.com/b/the-cottages-at-old-monrovia-huntsville-al-BvTcN7/
"Stonebridge - 3070 Kelly Cir, Montgomery, AL",Montgomery,AL,36116,32.32045,-86.24428,1/2,$500+/$610+,,https://www.zillow.com/b/stonebridge-montgomery-al-5XksCj/
"Addison Park - 101 S Burbank Dr, Montgomery, AL",Montgomery,AL,36117,32.37878,-86.19694,1/2/3,"$870+/$945+/$1,118+",Updated yesterday,https://www.zillow.com/b/addison-park-montgomery-al-5XjDMD/
"Cottages at Lake Tamaha - 745 Tamaha Trce NE, Tuscaloosa, AL",Tuscaloosa,AL,35404,33.224277,-87.50105,4/5,"$1,500+/$1,596+",3D Tour,https://www.zillow.com/b/cottages-at-lake-tamaha-tuscaloosa-al-5XjL4t/
"Foxcroft - 5701 Calmar Dr, Montgomery, AL",Montgomery,AL,36116,32.33009,-86.22757,2/3,$660+/$790+,,https://www.zillow.com/b/foxcroft-montgomery-al-5Xjq48/
"Broadstreet at EastChase - 8462 Eastchase Pkwy, Montgomery, AL",Montgomery,AL,36117,32.362743,-86.146736,1/2/3,"$1,196+/$1,259+/$1,640+",,https://www.zillow.com/b/broadstreet-at-eastchase-montgomery-al-5XqWZn/
"Apartment for rent - April Leigh, 11388 Tingle Tangle Rd #17-17898, Vance, AL 35490",Vance,AL,35490,33.150337,-87.25186,4,$2100.0,46 days ago,https://www.zillow.com/b/april-leigh-vance-al-9DYzyZ/
"Carondolet Apartments - 4612 Spring Hill Ave, Mobile, AL",Mobile,AL,36608,30.707624,-88.14584,1/2,$835+/$960+,,https://www.zillow.com/b/carondolet-apartments-mobile-al-5Xn4QD/
"Midtown 250 - 250 S Sage Ave, Mobile, AL",Mobile,AL,36606,30.679434,-88.11567,1,$715+,,https://www.zillow.com/b/midtown-250-mobile-al-5XqLGc/
"Ashbury Woods - 32 Ashbury Woods Dr, Huntsville, AL",Huntsville,AL,35824,34.656876,-86.7187,1/2/3,"$1,099+/$1,285+/$1,409+",Updated yesterday,https://www.zillow.com/b/ashbury-woods-huntsville-al-5Xrpv7/
