street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
30908 N Corbin Rd,Walker,LA,70785,30.515455,-90.83633,4.0,$405000.0,"$14,500 (Feb 22)",https://www.zillow.com/homedetails/30908-N-Corbin-Rd-Walker-LA-70785/110879127_zpid/
217 Roanoke Cir,Benton,LA,71006,32.645844,-93.71433,4.0,$334000.0,"$11,000 (Feb 1)",https://www.zillow.com/homedetails/217-Roanoke-Cir-Benton-LA-71006/208129883_zpid/
300 Coffin Rd,Carencro,LA,70520,30.337463,-92.04655,3.0,$170000.0,5 days on Zillow,https://www.zillow.com/homedetails/300-Coffin-Rd-Carencro-LA-70520/126787299_zpid/
1671 State Route 394,Deridder,LA,70634,,,4.0,$139000.0,14 days on Zillow,https://www.zillow.com/homedetails/1671-State-Route-394-Deridder-LA-70634/2059464716_zpid/
13716 Cedar Ridge Ave,Baton Rouge,LA,70817,30.400831,-91.02849,4.0,$275000.0,"$15,000 (Feb 18)",https://www.zillow.com/homedetails/13716-Cedar-Ridge-Ave-Baton-Rouge-LA-70817/66345086_zpid/
72425 Sunset Dr,Covington,LA,70433,30.487976,-90.15462,3.0,$525000.0,10 days on Zillow,https://www.zillow.com/homedetails/72425-Sunset-Dr-Covington-LA-70433/121935776_zpid/
503 Duplechin Rd,Church Point,LA,70525,30.49318,-92.22359,3.0,$175000.0,"$15,000 (Feb 11)",https://www.zillow.com/homedetails/503-Duplechin-Rd-Church-Point-LA-70525/289065546_zpid/
125 Barton Pl,Breaux Bridge,LA,70517,30.271845,-91.89581,4.0,$299000.0,"$16,000 (Feb 14)",https://www.zillow.com/homedetails/125-Barton-Pl-Breaux-Bridge-LA-70517/106162402_zpid/
119 Lionel Ln,Lake Charles,LA,70607,30.013836,-93.23171,3.0,$199900.0,162 days on Zillow,https://www.zillow.com/homedetails/119-Lionel-Ln-Lake-Charles-LA-70607/194535989_zpid/
601 Highway 1147,Deridder,LA,70634,30.79279,-93.11395,4.0,$104900.0,15 days on Zillow,https://www.zillow.com/homedetails/601-Highway-1147-Deridder-LA-70634/2085124374_zpid/
