street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
101 E King St,Newton,AL,36352,31.33529,-85.601585,6,$349000.0,17 hours ago,https://www.zillow.com/homedetails/101-E-King-St-Newton-AL-36352/2059099995_zpid/
23962 Fifith Ave,Florala,AL,36442,,,5,$280000.0,1 day on Zillow,https://www.zillow.com/homedetails/23962-Fifith-Ave-Florala-AL-36442/2059105054_zpid/
17 Silver Lake Blvd E,Glencoe,AL,35905,33.89014,-85.921265,4,$450000.0,21 hours ago,https://www.zillow.com/homedetails/17-Silver-Lake-Blvd-E-Glencoe-AL-35905/109515939_zpid/
1409 32nd St,Birmingham,AL,35218,33.497253,-86.893265,5,$50000.0,"$5,000 (Feb 13)",https://www.zillow.com/homedetails/1409-32nd-St-Birmingham-AL-35218/50931699_zpid/
4200 9th Ave,Birmingham,AL,35224,33.503986,-86.918945,3,$40000.0,"$30,000 (Feb 14)",https://www.zillow.com/homedetails/4200-9th-Ave-Birmingham-AL-35224/1018808_zpid/
2225 Golf Rd SW APT 507,Huntsville,AL,35802,34.681572,-86.583084,2,$134900.0,15 hours ago,https://www.zillow.com/homedetails/2225-Golf-Rd-SW-APT-507-Huntsville-AL-35802/190844645_zpid/
425 Main St,Jemison,AL,35085,32.955692,-86.74352,3,$150000.0,17 hours ago,https://www.zillow.com/homedetails/425-Main-St-Jemison-AL-35085/112759359_zpid/
301 Rush St,Opp,AL,36467,31.281548,-86.27589,2,$59000.0,14 hours ago,https://www.zillow.com/homedetails/301-Rush-St-Opp-AL-36467/114495261_zpid/
256 Westchester Dr,Birmingham,AL,35215,33.662006,-86.692116,3,$114400.0,1 day on Zillow,https://www.zillow.com/homedetails/256-Westchester-Dr-Birmingham-AL-35215/900936_zpid/
15369 Us Highway 98,Foley,AL,36535,30.406986,-87.761375,3,$245000.0,14 hours ago,https://www.zillow.com/homedetails/15369-Us-Highway-98-Foley-AL-36535/2059097900_zpid/
607 Euclid Ave,Mobile,AL,36606,30.669546,-88.091324,1,$45000.0,19 hours ago,https://www.zillow.com/homedetails/607-Euclid-Ave-Mobile-AL-36606/51019753_zpid/
4328 Newton St,Birmingham,AL,35217,33.57004,-86.779366,3,$40000.0,6 days on Zillow,https://www.zillow.com/homedetails/4328-Newton-St-Birmingham-AL-35217/946301_zpid/
1001 Ivy Hills Cir #1001,Birmingham,AL,35216,33.39967,-86.77959,3,$155000.0,21 hours ago,https://www.zillow.com/homedetails/1001-Ivy-Hills-Cir-1001-Birmingham-AL-35216/80748665_zpid/
2108 Brandon Dr LOT 92,Cullman,AL,35058,,,3,$321781.0,22 hours ago,https://www.zillow.com/homedetails/2108-Brandon-Dr-LOT-92-Cullman-AL-35058/2059104308_zpid/
5113 Clover Rd,Tuscaloosa,AL,35401,33.187984,-87.60197,3,$59500.0,15 hours ago,https://www.zillow.com/homedetails/5113-Clover-Rd-Tuscaloosa-AL-35401/83251905_zpid/
