street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
1425 S Van Ness Ave,San Francisco,CA,94110,37.750385,-122.415726,2,$825000.0,Sold 11/16/2022,https://www.zillow.com/homedetails/1425-S-Van-Ness-Ave-San-Francisco-CA-94110/2134081395_zpid/
239 8th St APT 7,San Francisco,CA,94103,37.775974,-122.410774,1,$675000.0,Sold 11/15/2022,https://www.zillow.com/homedetails/239-8th-St-APT-7-San-Francisco-CA-94103/80752648_zpid/
1175 Chestnut St APT 303,San Francisco,CA,94109,37.802258,-122.422516,1,$3100.0,Sold 11/15/2022,https://www.zillow.com/homedetails/1175-Chestnut-St-APT-303-San-Francisco-CA-94109/2060951998_zpid/
1998 25th St,San Francisco,CA,94107,37.752434,-122.39829,5,$850000.0,Sold 11/14/2022,https://www.zillow.com/homedetails/1998-25th-St-San-Francisco-CA-94107/15152179_zpid/
901 Bay Shore Blvd APT 206,San Francisco,CA,94124,37.73292,-122.40437,1,$240449.0,Sold 11/14/2022,https://www.zillow.com/homedetails/901-Bay-Shore-Blvd-APT-206-San-Francisco-CA-94124/80732953_zpid/
318 Spear St UNIT 5E,San Francisco,CA,94105,37.789375,-122.39097,1,$4000.0,Sold 11/14/2022,https://www.zillow.com/homedetails/318-Spear-St-UNIT-5E-San-Francisco-CA-94105/89237647_zpid/
371-375 Haight St #371A,San Francisco,CA,94102,,,1,$665000.0,Sold 11/14/2022,https://www.zillow.com/homedetails/371-375-Haight-St-371A-San-Francisco-CA-94102/2062193277_zpid/
371-375 Haight St,San Francisco,CA,94102,37.772175,-122.42826,1,$688000.0,Sold 11/14/2022,https://www.zillow.com/homedetails/371-375-Haight-St-San-Francisco-CA-94102/2078429789_zpid/
615 Brussels St,San Francisco,CA,94134,37.72453,-122.404274,3,$570000.0,Sold 11/10/2022,https://www.zillow.com/homedetails/615-Brussels-St-San-Francisco-CA-94134/15171831_zpid/
170 King St UNIT 718,San Francisco,CA,94107,37.77882,-122.39136,1,$301874.0,Sold 11/10/2022,https://www.zillow.com/homedetails/170-King-St-UNIT-718-San-Francisco-CA-94107/82786315_zpid/
435 Carl St,San Francisco,CA,94117,37.76486,-122.45624,1,$820000.0,Sold 11/10/2022,https://www.zillow.com/homedetails/435-Carl-St-San-Francisco-CA-94117/303806206_zpid/
2483 Filbert St,San Francisco,CA,94123,37.797295,-122.44029,1,$610000.0,Sold 11/10/2022,https://www.zillow.com/homedetails/2483-Filbert-St-San-Francisco-CA-94123/2127056887_zpid/
221 Steiner St,San Francisco,CA,94117,37.771255,-122.43227,2,$446500.0,Sold 11/09/2022,https://www.zillow.com/homedetails/221-Steiner-St-San-Francisco-CA-94117/15079167_zpid/
1355 Shafter Ave,San Francisco,CA,94124,37.72825,-122.38634,2,$860000.0,Sold 11/09/2022,https://www.zillow.com/homedetails/1355-Shafter-Ave-San-Francisco-CA-94124/15154095_zpid/
1148 Montgomery St,San Francisco,CA,94133,37.799896,-122.404015,2,$799000.0,Sold 11/09/2022,https://www.zillow.com/homedetails/1148-Montgomery-St-San-Francisco-CA-94133/325645479_zpid/
1148 Montgomery St #D,San Francisco,CA,94133,,,2,$799000.0,Sold 11/09/2022,https://www.zillow.com/homedetails/1148-Montgomery-St-D-San-Francisco-CA-94133/2065695174_zpid/
1160 Mission St UNIT 709,San Francisco,CA,94103,37.778683,-122.41246,1,$326254.0,Sold 11/08/2022,https://www.zillow.com/homedetails/1160-Mission-St-UNIT-709-San-Francisco-CA-94103/83127981_zpid/
10 Kennedy Pl #203,San Francisco,CA,94124,37.728172,-122.36766,1,$549000.0,Sold 11/08/2022,https://www.zillow.com/homedetails/10-Kennedy-Pl-203-San-Francisco-CA-94124/325647862_zpid/
250 King St UNIT 948,San Francisco,CA,94107,37.77801,-122.39325,1,$700000.0,Sold 11/07/2022,https://www.zillow.com/homedetails/250-King-St-UNIT-948-San-Francisco-CA-94107/69819545_zpid/
1200 Gough St UNIT 9D,San Francisco,CA,94109,37.78497,-122.4243,1,$819000.0,Sold 11/04/2022,https://www.zillow.com/homedetails/1200-Gough-St-UNIT-9D-San-Francisco-CA-94109/15077035_zpid/
601 Van Ness Ave APT 1006,San Francisco,CA,94102,37.78168,-122.42091,1,$540000.0,Sold 11/04/2022,https://www.zillow.com/homedetails/601-Van-Ness-Ave-APT-1006-San-Francisco-CA-94102/15077916_zpid/
1503 La Salle Ave,San Francisco,CA,94124,37.735332,-122.38716,3,$799000.0,Sold 11/04/2022,https://www.zillow.com/homedetails/1503-La-Salle-Ave-San-Francisco-CA-94124/15155992_zpid/
1701 Jackson St APT 601,San Francisco,CA,94109,37.79371,-122.42345,2,$4900.0,Sold 11/04/2022,https://www.zillow.com/homedetails/1701-Jackson-St-APT-601-San-Francisco-CA-94109/54854399_zpid/
666 Post St APT 502,San Francisco,CA,94109,37.787907,-122.4129,1,$536500.0,Sold 11/04/2022,https://www.zillow.com/homedetails/666-Post-St-APT-502-San-Francisco-CA-94109/63196392_zpid/
987 14th St,San Francisco,CA,94114,37.76719,-122.43531,1,$785000.0,Sold 11/04/2022,https://www.zillow.com/homedetails/987-14th-St-San-Francisco-CA-94114/64968915_zpid/
1905 Laguna St APT 302,San Francisco,CA,94115,37.78872,-122.42904,1,$837000.0,Sold 11/03/2022,https://www.zillow.com/homedetails/1905-Laguna-St-APT-302-San-Francisco-CA-94115/15075115_zpid/
701 Minna St APT 18,San Francisco,CA,94103,37.776714,-122.41274,2,$775000.0,Sold 11/03/2022,https://www.zillow.com/homedetails/701-Minna-St-APT-18-San-Francisco-CA-94103/80747841_zpid/
231 Greenwich St APT 1,San Francisco,CA,94133,37.802895,-122.40381,1,$625000.0,Sold 11/03/2022,https://www.zillow.com/homedetails/231-Greenwich-St-APT-1-San-Francisco-CA-94133/184817024_zpid/
1001 Pine St UNIT 1201,San Francisco,CA,94109,37.79052,-122.41267,1,$645000.0,Sold 11/02/2022,https://www.zillow.com/homedetails/1001-Pine-St-UNIT-1201-San-Francisco-CA-94109/15068922_zpid/
2346 Clement St APT 3,San Francisco,CA,94121,37.78228,-122.48462,1,$845000.0,Sold 11/02/2022,https://www.zillow.com/homedetails/2346-Clement-St-APT-3-San-Francisco-CA-94121/63196973_zpid/
2001 McAllister St APT 213,San Francisco,CA,94118,37.776836,-122.44507,1,$719000.0,Sold 11/02/2022,https://www.zillow.com/homedetails/2001-McAllister-St-APT-213-San-Francisco-CA-94118/80747725_zpid/
688-692 Shotwell St,San Francisco,CA,94110,37.75744,-122.41596,9,$383500.0,Sold 11/02/2022,https://www.zillow.com/homedetails/688-692-Shotwell-St-San-Francisco-CA-94110/332859806_zpid/
1370 11th Ave APT 5,San Francisco,CA,94122,37.76265,-122.46803,1,$498000.0,Sold 11/02/2022,https://www.zillow.com/homedetails/1370-11th-Ave-APT-5-San-Francisco-CA-94122/2061008752_zpid/
1977CC Ofarrell St #2,San Francisco,CA,94115,37.78223,-122.43689,2,$715000.0,Sold 11/01/2022,https://www.zillow.com/homedetails/1977CC-Ofarrell-St-2-San-Francisco-CA-94115/15077365_zpid/
1977 C Ofarrell St,San Francisco,CA,94115,,,2,$715000.0,Sold 11/01/2022,https://www.zillow.com/homedetails/1977-C-Ofarrell-St-San-Francisco-CA-94115/2062488874_zpid/
1483 Sutter St UNIT 402,San Francisco,CA,94109,37.786716,-122.4242,1,$555000.0,Sold 10/31/2022,https://www.zillow.com/homedetails/1483-Sutter-St-UNIT-402-San-Francisco-CA-94109/15076328_zpid/
825 La Playa St APT 424,San Francisco,CA,94121,37.77271,-122.51042,2,$800000.0,Sold 10/31/2022,https://www.zillow.com/homedetails/825-La-Playa-St-APT-424-San-Francisco-CA-94121/15100721_zpid/
1839 15th St APT 255,San Francisco,CA,94103,37.76546,-122.42492,1,$700000.0,Sold 10/31/2022,https://www.zillow.com/homedetails/1839-15th-St-APT-255-San-Francisco-CA-94103/15143271_zpid/
1503 McKinnon Ave,San Francisco,CA,94124,37.734707,-122.38772,2,$805000.0,Sold 10/31/2022,https://www.zillow.com/homedetails/1503-McKinnon-Ave-San-Francisco-CA-94124/15156162_zpid/
1400 Mission St #1106,San Francisco,CA,94103,37.775284,-122.41649,1,$349294.0,Sold 10/31/2022,https://www.zillow.com/homedetails/1400-Mission-St-1106-San-Francisco-CA-94103/241585180_zpid/
719 Larkin St UNIT 203,San Francisco,CA,94109,37.784546,-122.418076,1,$525000.0,Sold 10/31/2022,https://www.zillow.com/homedetails/719-Larkin-St-UNIT-203-San-Francisco-CA-94109/325648132_zpid/
5853 Mission St APT 9,San Francisco,CA,94112,37.708813,-122.45142,1,$500000.0,Sold 10/28/2022,https://www.zillow.com/homedetails/5853-Mission-St-APT-9-San-Francisco-CA-94112/15178884_zpid/
555 4th St UNIT 405,San Francisco,CA,94107,37.779335,-122.39652,1,$30000.0,Sold 10/28/2022,https://www.zillow.com/homedetails/555-4th-St-UNIT-405-San-Francisco-CA-94107/79844598_zpid/
454 Lombard St APT 3,San Francisco,CA,94133,37.803604,-122.40907,1,$860000.0,Sold 10/27/2022,https://www.zillow.com/homedetails/454-Lombard-St-APT-3-San-Francisco-CA-94133/15064382_zpid/
511 Missouri St,San Francisco,CA,94107,37.759647,-122.395935,4,$360000.0,Sold 10/27/2022,https://www.zillow.com/homedetails/511-Missouri-St-San-Francisco-CA-94107/15150803_zpid/
714 London St,San Francisco,CA,94112,37.717945,-122.43919,2,$845000.0,Sold 10/27/2022,https://www.zillow.com/homedetails/714-London-St-San-Francisco-CA-94112/15176461_zpid/
246 2nd St APT 1105,San Francisco,CA,94105,37.785744,-122.3974,1,$755000.0,Sold 10/27/2022,https://www.zillow.com/homedetails/246-2nd-St-APT-1105-San-Francisco-CA-94105/53153514_zpid/
2002 3rd St APT 110,San Francisco,CA,94107,37.763805,-122.38929,1,$838000.0,Sold 10/27/2022,https://www.zillow.com/homedetails/2002-3rd-St-APT-110-San-Francisco-CA-94107/80743258_zpid/
10 Kennedy Pl #304,San Francisco,CA,94124,37.728172,-122.36766,2,$699000.0,Sold 10/27/2022,https://www.zillow.com/homedetails/10-Kennedy-Pl-304-San-Francisco-CA-94124/325647873_zpid/
1262 44th Ave #A,San Francisco,CA,94122,37.763084,-122.50364,1,$853000.0,Sold 10/27/2022,https://www.zillow.com/homedetails/1262-44th-Ave-A-San-Francisco-CA-94122/2061457287_zpid/
1686 Great Hwy APT 3,San Francisco,CA,94122,37.75502,-122.50841,2,$810000.0,Sold 10/26/2022,https://www.zillow.com/homedetails/1686-Great-Hwy-APT-3-San-Francisco-CA-94122/15108085_zpid/
1215 Jamestown Ave,San Francisco,CA,94124,37.72054,-122.39774,3,$830000.0,Sold 10/26/2022,https://www.zillow.com/homedetails/1215-Jamestown-Ave-San-Francisco-CA-94124/15159568_zpid/
261 Silver Ave,San Francisco,CA,94112,37.7293,-122.431915,3,$850000.0,Sold 10/26/2022,https://www.zillow.com/homedetails/261-Silver-Ave-San-Francisco-CA-94112/15186920_zpid/
