street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
13240 Alysha Dr LOT 61,Denham Springs,LA,70726,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/13240-Alysha-Dr-LOT-61-Denham-Springs-LA-70726/2059971628_zpid/
34646 Quarter Horse Ln LOT 0,Walker,LA,70785,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/34646-Quarter-Horse-Ln-LOT-0-Walker-LA-70785/2060120083_zpid/
121 San Juan Ln,Youngsville,LA,70592,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/121-San-Juan-Ln-Youngsville-LA-70592/2060148566_zpid/
0 Montagne St,New Iberia,LA,70560,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/0-Montagne-St-New-Iberia-LA-70560/2060180205_zpid/
16154 Highway 3235 #5B,Cut Off,LA,70345,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/16154-Highway-3235-5B-Cut-Off-LA-70345/2060186175_zpid/
2421 Kingfisher Dr,Houma,LA,70364,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/2421-Kingfisher-Dr-Houma-LA-70364/2060207295_zpid/
146 King George Dr,Thibodaux,LA,70301,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/146-King-George-Dr-Thibodaux-LA-70301/2060209516_zpid/
283 Peacock Poin,Thibodaux,LA,70301,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/283-Peacock-Poin-Thibodaux-LA-70301/2060218484_zpid/
181 White Castle,Iowa,LA,70647,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/181-White-Castle-Iowa-LA-70647/2060297467_zpid/
6505 White Oleander Cir E,Lake Charles,LA,70605,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/6505-White-Oleander-Cir-E-Lake-Charles-LA-70605/2060303148_zpid/
28397 Middlebrook Way,Denham Springs,LA,70726,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/28397-Middlebrook-Way-Denham-Springs-LA-70726/2060328966_zpid/
354 Sugarland Cir,Opelousas,LA,70570,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/354-Sugarland-Cir-Opelousas-LA-70570/2060407911_zpid/
Goldenrod St LOT 617/618,Denham Springs,LA,70726,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/Goldenrod-St-LOT-617-618-Denham-Springs-LA-70726/2060708801_zpid/
420 Weaver Way,Maurice,LA,70555,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/420-Weaver-Way-Maurice-LA-70555/2060720059_zpid/
11431 Greenwell Springs Port Hudson Rd,Zachary,LA,70791,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/11431-Greenwell-Springs-Port-Hudson-Rd-Zachary-LA-70791/2060728732_zpid/
11579 Water View Ave,Denham Springs,LA,70726,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/11579-Water-View-Ave-Denham-Springs-LA-70726/2060873356_zpid/
58665 Harding St,Plaquemine,LA,70764,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/58665-Harding-St-Plaquemine-LA-70764/2060998524_zpid/
8725A Wilbur Rd,Baton Rouge,LA,70807,,,2.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/8725A-Wilbur-Rd-Baton-Rouge-LA-70807/2061219594_zpid/
Mj 1 A La Hwy LOT 43,Albany,LA,70711,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/Mj-1-A-La-Hwy-LOT-43-Albany-LA-70711/2061634315_zpid/
LOT 20 Silver Point Dr,Shreveport,LA,71106,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/LOT-20-Silver-Point-Dr-Shreveport-LA-71106/2062341544_zpid/
5-A-2-B Dewey Breaux Rd #2-LOT 5-A,Gonzales,LA,70737,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/5-A-2-B-Dewey-Breaux-Rd-2-LOT-5-A-Gonzales-LA-70737/2062383185_zpid/
37298 Renaissance Dr LOT 41,Prairieville,LA,70769,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/37298-Renaissance-Dr-LOT-41-Prairieville-LA-70769/2062393936_zpid/
1754 Park Place Dr,Lake Charles,LA,70607,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1754-Park-Place-Dr-Lake-Charles-LA-70607/2062907627_zpid/
15 Silverstone Ave LOT 15,Pt Allen,LA,70767,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/15-Silverstone-Ave-LOT-15-Pt-Allen-LA-70767/2062956052_zpid/
246 Cane Run Ct,Duson,LA,70529,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/246-Cane-Run-Ct-Duson-LA-70529/2062971565_zpid/
908 Gold Finch Way,Lake Charles,LA,70611,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/908-Gold-Finch-Way-Lake-Charles-LA-70611/2063398608_zpid/
114 Barbados Ln,Sunset,LA,70584,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/114-Barbados-Ln-Sunset-LA-70584/2065405345_zpid/
120 Barbados Ln,Sunset,LA,70584,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/120-Barbados-Ln-Sunset-LA-70584/2065405346_zpid/
Bayou Pierre Dr LOT 40A,Maurepas,LA,70449,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/Bayou-Pierre-Dr-LOT-40A-Maurepas-LA-70449/2065615708_zpid/
10216 Creek Bend Ave #D,Baton Rouge,LA,70836,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/10216-Creek-Bend-Ave-D-Baton-Rouge-LA-70836/2066406804_zpid/
5425 Iris Hollow Rd,Slidell,LA,70461,30.229462,-89.76829,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/5425-Iris-Hollow-Rd-Slidell-LA-70461/2066541298_zpid/
4719 General Ewell Dr,Bossier City,LA,71112,32.465733,-93.65225,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/4719-General-Ewell-Dr-Bossier-City-LA-71112/2068824025_zpid/
State Highway 16 G LOT 4-D,Denham Springs,LA,70706,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/State-Highway-16-G-LOT-4-D-Denham-Springs-LA-70706/2075322308_zpid/
72373 Homestead St,Covington,LA,70435,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/72373-Homestead-St-Covington-LA-70435/2075775734_zpid/
5167 Thompson Cove Dr,Saint Francisville,LA,70775,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/5167-Thompson-Cove-Dr-Saint-Francisville-LA-70775/2076521131_zpid/
1106 Bayou Trce,Breaux Bridge,LA,70517,30.297836,-91.91957,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1106-Bayou-Trce-Breaux-Bridge-LA-70517/2077676421_zpid/
