street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Apartment for rent - 242 Holloway Ave #A, San Francisco, CA 94112",San Francisco,CA,94112,37.722065,-122.455894,1,$2100.0,5 days ago,https://www.zillow.com/homedetails/242-Holloway-Ave-A-San-Francisco-CA-94112/2059131574_zpid/
"For Rent - 755 Bush St, San Francisco, CA",San Francisco,CA,94108,37.789753,-122.409706,1,"$2,795+",2 days ago,https://www.zillow.com/b/755-bush-st-san-francisco-ca-5XjKPk/
"Apartment for rent - 717 40th Ave APT 9, San Francisco, CA 94121",San Francisco,CA,94121,37.775063,-122.500824,1,$2295.0,3 days ago,https://www.zillow.com/homedetails/717-40th-Ave-APT-9-San-Francisco-CA-94121/2088756810_zpid/
"Apartment for rent - Alta Apartments, Inc. - Renters (630 Mason), 630 Mason St APT 902, San Francisco, CA 94108",San Francisco,CA,94108,37.789448,-122.41006,1,$2995.0,13 days ago,https://www.zillow.com/b/630-mason-street-san-francisco-ca-5YCcS4/
"Apartment for rent - 8400 Oceanview Ter APT 206, San Francisco, CA 94132",San Francisco,CA,94132,37.71042,-122.467705,1,$2950.0,3D Tour,https://www.zillow.com/homedetails/8400-Oceanview-Ter-APT-206-San-Francisco-CA-94132/67395090_zpid/
"Apartment for rent - 910 Presidio Ave APT 7, San Francisco, CA 94115",San Francisco,CA,94115,37.783325,-122.4457,1,$2995.0,4 days ago,https://www.zillow.com/homedetails/910-Presidio-Ave-APT-7-San-Francisco-CA-94115/2087007638_zpid/
"Apartment for rent - 348 Hyde St APT 8, San Francisco, CA 94109",San Francisco,CA,94109,37.784122,-122.41569,1,$1895.0,4 days ago,https://www.zillow.com/homedetails/348-Hyde-St-APT-8-San-Francisco-CA-94109/64971831_zpid/
"Apartment for rent - 1601 Sacramento St APT 7, San Francisco, CA 94109",San Francisco,CA,94109,37.79152,-122.41948,1,$2195.0,10 days ago,https://www.zillow.com/homedetails/1601-Sacramento-St-APT-7-San-Francisco-CA-94109/2059274544_zpid/
"Apartment for rent - 815 Bush St #7, San Francisco, CA 94108",San Francisco,CA,94108,37.78969,-122.41077,1,$2275.0,6 days ago,https://www.zillow.com/homedetails/815-Bush-St-7-San-Francisco-CA-94108/2059160842_zpid/
"Apartment for rent - 7001 California St #D304, San Francisco, CA 94121",San Francisco,CA,94121,37.783314,-122.49271,1,$2495.0,6 days ago,https://www.zillow.com/homedetails/7001-California-St-D304-San-Francisco-CA-94121/2059091960_zpid/
"Apartment for rent - 1230 Hyde Street, 1230 Hyde St #6, San Francisco, CA 94109",San Francisco,CA,94109,37.79247,-122.41737,1,$2295.0,15 days ago,https://www.zillow.com/b/1230-hyde-street-san-francisco-ca-5XrDxL/
"Apartment for rent - 3208 Anza St #D, San Francisco, CA 94121",San Francisco,CA,94121,37.778397,-122.48272,1,$2595.0,8 days ago,https://www.zillow.com/homedetails/3208-Anza-St-D-San-Francisco-CA-94121/2059091961_zpid/
"Apartment for rent - 1 bed, $2,895, 333 Fillmore St #9, San Francisco, CA 94117",San Francisco,CA,94117,37.77252,-122.43089,1,$2895.0,6 days ago,https://www.zillow.com/b/333-fillmore-street-san-francisco-ca-9NL6Yx/
"Apartment for rent - 3225 23rd St #2, San Francisco, CA 94110",San Francisco,CA,94110,37.753788,-122.41701,1,$2295.0,13 days ago,https://www.zillow.com/homedetails/3225-23rd-St-2-San-Francisco-CA-94110/2070206345_zpid/
"House for rent - 291 Surrey St UNIT A, San Francisco, CA 94131",San Francisco,CA,94131,37.73563,-122.43669,1,$2800.0,8 days ago,https://www.zillow.com/homedetails/291-Surrey-St-UNIT-A-San-Francisco-CA-94131/2069335437_zpid/
"House for rent - 102 Locksley Ave #104, San Francisco, CA 94122",San Francisco,CA,94122,37.758446,-122.46288,1,$2495.0,6 days ago,https://www.zillow.com/homedetails/102-Locksley-Ave-104-San-Francisco-CA-94122/2059148960_zpid/
"1295 47th Avenue - 1295 47th Ave, San Francisco, CA",San Francisco,CA,94122,37.762478,-122.507324,2,"$2,595+",,https://www.zillow.com/b/1295-47th-avenue-san-francisco-ca-5dvzcv/
"Apartment for rent - 1254 Taylor St APT 6, San Francisco, CA 94108",San Francisco,CA,94108,37.79424,-122.412704,1,$2895.0,14 days ago,https://www.zillow.com/homedetails/1254-Taylor-St-APT-6-San-Francisco-CA-94108/2125047273_zpid/
"Apartment for rent - 2401 23rd Ave APT 3, San Francisco, CA 94116",San Francisco,CA,94116,37.742672,-122.48022,1,$2095.0,7 days ago,https://www.zillow.com/homedetails/2401-23rd-Ave-APT-3-San-Francisco-CA-94116/2095748059_zpid/
"Apartment for rent - 1530 Irving St APT 5, San Francisco, CA 94122",San Francisco,CA,94122,37.763927,-122.474464,1,$2700.0,6 days ago,https://www.zillow.com/homedetails/1530-Irving-St-APT-5-San-Francisco-CA-94122/2059142807_zpid/
"Apartment for rent - 201 Harrison St APT 808, San Francisco, CA 94105",San Francisco,CA,94105,37.78754,-122.39053,1,$2600.0,16 days ago,https://www.zillow.com/homedetails/201-Harrison-St-APT-808-San-Francisco-CA-94105/15148338_zpid/
"For Rent - 379A Union St, San Francisco, CA",San Francisco,CA,94133,37.799908,-122.41359,1/2,"$2,800+/$2,805+",8 days ago,https://www.zillow.com/b/379a-union-st-san-francisco-ca-BkqyTM/
"Apartment for rent - 2245 Larkin St #12, San Francisco, CA 94109",San Francisco,CA,94109,37.798645,-122.42099,1,$2995.0,5 days ago,https://www.zillow.com/homedetails/2245-Larkin-St-12-San-Francisco-CA-94109/2077358862_zpid/
"Apartment for rent - 33 Harriet St #7, San Francisco, CA 94103",San Francisco,CA,94103,37.77901,-122.40701,1,$2395.0,21 days ago,https://www.zillow.com/homedetails/33-Harriet-St-7-San-Francisco-CA-94103/2077205904_zpid/
"1114 Sutter Street - 1114 Sutter St, San Francisco, CA",San Francisco,CA,94109,37.788174,-122.41889,1,"$1,995+",,https://www.zillow.com/b/1114-sutter-street-san-francisco-ca-5XsPzn/
"For Rent - 1274 45th Ave, San Francisco, CA",San Francisco,CA,94122,37.762836,-122.50469,2,"$2,450+",3 days ago,https://www.zillow.com/b/1274-45th-ave-san-francisco-ca-9hnVPY/
"Apartment for rent - 1590 Sacramento St #3N, San Francisco, CA 94109",San Francisco,CA,94109,37.791904,-122.418945,1,$2650.0,10 days ago,https://www.zillow.com/homedetails/1590-Sacramento-St-3N-San-Francisco-CA-94109/2059270581_zpid/
"Apartment for rent - 3070 California St APT 202, San Francisco, CA 94115",San Francisco,CA,94115,37.787724,-122.44505,2,$3000.0,4 days ago,https://www.zillow.com/homedetails/3070-California-St-APT-202-San-Francisco-CA-94115/2080856953_zpid/
"Apartment for rent - 53-59 Moss St #55-A, San Francisco, CA 94103",San Francisco,CA,94103,37.777843,-122.407845,2,$2900.0,16 days ago,https://www.zillow.com/homedetails/53-59-Moss-St-55-A-San-Francisco-CA-94103/2069964914_zpid/
"Apartment for rent - 210 Miramar Ave APT 4, San Francisco, CA 94112",San Francisco,CA,94112,37.72206,-122.458015,1,$2050.0,8 days ago,https://www.zillow.com/homedetails/210-Miramar-Ave-APT-4-San-Francisco-CA-94112/2102070210_zpid/
"Apartment for rent - 1661 Bush Street, 1661 Bush St #2, San Francisco, CA 94109",San Francisco,CA,94109,37.787903,-122.42447,1,$2495.0,4 days ago,https://www.zillow.com/b/1661-bush-street-san-francisco-ca-5YCKWK/
"Apartment for rent - 3247 23rd St #3247, San Francisco, CA 94110",San Francisco,CA,94110,37.753773,-122.41727,1,$2550.0,16 days ago,https://www.zillow.com/homedetails/3247-23rd-St-3247-San-Francisco-CA-94110/2077393730_zpid/
"House for rent - 291 30th St UNIT A, San Francisco, CA 94131",San Francisco,CA,94131,37.741867,-122.42661,1,$1995.0,6 days ago,https://www.zillow.com/homedetails/291-30th-St-UNIT-A-San-Francisco-CA-94131/2097897369_zpid/
"Apartment for rent - 1250 Clay St APT 302, San Francisco, CA 94108",San Francisco,CA,94108,37.79357,-122.41368,1,$2700.0,19 days ago,https://www.zillow.com/homedetails/1250-Clay-St-APT-302-San-Francisco-CA-94108/15067752_zpid/
"Apartment for rent - 1381 20th Ave APT 2, San Francisco, CA 94122",San Francisco,CA,94122,37.762054,-122.478424,1,$2250.0,13 days ago,https://www.zillow.com/homedetails/1381-20th-Ave-APT-2-San-Francisco-CA-94122/2086639856_zpid/
"Apartment for rent - 535 Leavenworth St APT 24, San Francisco, CA 94109",San Francisco,CA,94109,37.785995,-122.41501,1,$2495.0,3D Tour,https://www.zillow.com/homedetails/535-Leavenworth-St-APT-24-San-Francisco-CA-94109/2059555241_zpid/
"Apartment for rent - 3910 Fulton St APT 7, San Francisco, CA 94118",San Francisco,CA,94118,37.773296,-122.47374,1,$2595.0,10 days ago,https://www.zillow.com/homedetails/3910-Fulton-St-APT-7-San-Francisco-CA-94118/2071555687_zpid/
"Apartment for rent - 359 Green St APT 3, San Francisco, CA 94133",San Francisco,CA,94133,37.799652,-122.405205,1,$2700.0,14 days ago,https://www.zillow.com/homedetails/359-Green-St-APT-3-San-Francisco-CA-94133/2059461233_zpid/
"Apartment for rent - 589 Dolores St APT 3, San Francisco, CA 94110",San Francisco,CA,94110,37.76008,-122.42557,1,$2795.0,3D Tour,https://www.zillow.com/homedetails/589-Dolores-St-APT-3-San-Francisco-CA-94110/2081040945_zpid/
